id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1379324790377484289,1379324790377484289,1617691631000.0,2021-04-06 14:47:11,+0800,,"I’ve never really gotten a good sense of what “suicidal ideation” means—like define “thinking about,” separate from “considering” or “planning,” if it is different.",en,[],[],1326737323694972929,1326737323694972929,Tryzero5,Add your name,2,14,https://twitter.com/Tryzero5/status/1379324790377484289,[],[],0,,False,0,0,0,,suicidal,,,,,,,[],,,,
1379324612094402564,1379324612094402564,1617691588000.0,2021-04-06 14:46:28,+0800,,Piers Morgan asks Meghan Markle to name ‘royals who rejected her requests for help after claiming she was suicidal’  https://t.co/XzWfVQ3crU,en,[],[],107690238,107690238,NaijaGbedu,Naija Gbedu,2,14,https://twitter.com/NaijaGbedu/status/1379324612094402564,['https://www.naijagbedu.com/piers-morgan-asks-meghan-markle-to-name-royals-who-rejected-her-requests-for-help-after-claiming-she-was-suicidal/'],[],0,,False,0,0,0,,suicidal,,,,,,,[],,,,
1379324609535733763,1377293987850108935,1617691588000.0,2021-04-06 14:46:28,+0800,,"@JennyFitz2000 @truthwi10804511 @ScottNewgent @Catlady762 @Natslife_blog @Bleedinheart2MD @ZombieTron @artistofpeeps @PadmaLakshmi @UpperhandMars @KristofferPhilp I believe mine is a sound professional opinion. If someone is suicidal, that needs to be the priority. No one should make a major medical decision when they’re mentally unstable. It’s a WPATH criteria.",en,[],[],1360088546871107584,1360088546871107584,canada_gender,Gender Dysphoria Alliance Canada,2,14,https://twitter.com/canada_gender/status/1379324609535733763,[],[],0,,False,0,0,0,,suicidal,,,,,,,"[{'screen_name': 'JennyFitz2000', 'name': 'Jenny Fitz', 'id': '4289910926'}, {'screen_name': 'truthwi10804511', 'name': 'truthwins', 'id': '1362214760507351043'}, {'screen_name': 'ScottNewgent', 'name': '🌍 Scott Newgent 🌍', 'id': '1163601363303055360'}, {'screen_name': 'Catlady762', 'name': 'TX TS Lady #IStandWithJKRowling', 'id': '1315817510684561408'}, {'screen_name': 'Natslife_blog', 'name': 'Nat’s Life Blog', 'id': '841549568361783296'}, {'screen_name': 'Bleedinheart2MD', 'name': 'BundlebranchblockMD👁️👁️', 'id': '1078134162618494976'}, {'screen_name': 'ZombieTron', 'name': 'ZombieTron', 'id': '17546887'}, {'screen_name': 'artistofpeeps', 'name': '𝙿𝚎𝚎𝚙𝚜 𝙾’𝙲𝚊𝚛𝚛𝚘𝚗𝚗', 'id': '1344302196'}, {'screen_name': 'PadmaLakshmi', 'name': 'Padma Lakshmi', 'id': '57371662'}, {'screen_name': 'UpperhandMars', 'name': '〽️ars ⚓️', 'id': '1112078304952094720'}, {'screen_name': 'KristofferPhilp', 'name': 'Kristoffer', 'id': '1077139577889058817'}]",,,,
1379324573309632512,1378530028351262725,1617691579000.0,2021-04-06 14:46:19,+0800,,"@blmaindevil @RyanBrindley7 @ghostshrimpe @KrystaIHuntress @crybabydori I endured bullying for years and was suicidal for a good portion of my life. Trust me, none of us gays want to be ‘victims’ because you think we want to :)))",en,[],[],1226984619528138752,1226984619528138752,BrendanMaraj,Brendan Maraj,2,14,https://twitter.com/BrendanMaraj/status/1379324573309632512,[],[],0,,False,0,0,0,,suicidal,,,,,,,"[{'screen_name': 'blmaindevil', 'name': ""Lucius | Future's lost son"", 'id': '1241877334157746176'}, {'screen_name': 'RyanBrindley7', 'name': 'RyanB', 'id': '1378592039017836551'}, {'screen_name': 'ghostshrimpe', 'name': 'spicy.chokolate🇹🇹⁷ rosaria come home', 'id': '1244062536695234561'}, {'screen_name': 'KrystaIHuntress', 'name': 'ceo of Blasian Ochako 🍵', 'id': '1156256884644597761'}, {'screen_name': 'crybabydori', 'name': 'dori #1 LEX STAN WOO', 'id': '1293356747198009348'}]",,,,
1379324551885033472,1379324551885033472,1617691574000.0,2021-04-06 14:46:14,+0800,,Exams in pandemic is suicidal!#cancelboardexams2021,en,['cancelboardexams2021'],[],1284441087361159171,1284441087361159171,tweet2sanam,sanam warraich,2,14,https://twitter.com/tweet2sanam/status/1379324551885033472,[],[],0,,False,0,0,1,,suicidal,,,,,,,[],,,,
1379324197139312643,1379322580436406273,1617691489000.0,2021-04-06 14:44:49,+0800,,"a year ago i was suicidal, anxious, self destructive, dealing with trauma and i also looked like a corpse🪦❤️ a year later i’ve never been happier and more content with myself and my life",en,[],[],2580199162,2580199162,hannahdavi_s,ℌ𝔞𝔫𝔫𝔞𝔥,2,14,https://twitter.com/hannahdavi_s/status/1379324197139312643,[],[],0,,False,0,0,0,,suicidal,,,,,,,[],,,,
1379324062372143104,1379324062372143104,1617691457000.0,2021-04-06 14:44:17,+0800,,Today's forecast is deeply depressed with a touch of feeling suicidal.,en,[],[],902613581933490176,902613581933490176,CodyWitherell1,depressed nobody,2,14,https://twitter.com/CodyWitherell1/status/1379324062372143104,[],[],0,,False,0,0,0,,suicidal,,,,,,,[],,,,
1379323998274789377,1379323998274789377,1617691442000.0,2021-04-06 14:44:02,+0800,,Beautiful girls give you they best then leave you depressed but I ain't suicidal,en,[],[],1108197403574849536,1108197403574849536,Damn_Datscrazy,🌑,2,14,https://twitter.com/Damn_Datscrazy/status/1379323998274789377,[],[],0,,False,0,0,0,,suicidal,,,,,,,[],,,,
1379323635819745280,1379157624944484364,1617691356000.0,2021-04-06 14:42:36,+0800,,"@BravinYuri Especially daughter of Jezebel, wale suicidal, nagging all the time, dramatic",en,[],[],49634274,49634274,Sam_Baja,Bo$$🇰🇪🇺🇬🇹🇿,2,14,https://twitter.com/Sam_Baja/status/1379323635819745280,[],[],0,,False,0,0,0,,suicidal,,,,,,,"[{'screen_name': 'BravinYuri', 'name': 'BRAVIN YURI', 'id': '178677263'}]",,,,
1379323114786537474,1379323114786537474,1617691231000.0,2021-04-06 14:40:31,+0800,,Piers Morgan asks Meghan to name ‘royals who rejected her requests for help after claiming she was suicidal’ » ENTERTAINMENT  https://t.co/WzU9aAZybK,en,[],[],1323899155,1323899155,naijatell,NAIJATELL.COM,2,14,https://twitter.com/naijatell/status/1379323114786537474,['https://naijatell.com/35364/piers-morgan-asks-meghan-to-name-royals-who-rejected-her-requests-for-help-after-claiming-she-was-suicidal-entertainment/'],[],0,,False,0,0,0,,suicidal,,,,,,,[],,,,
